trade_id,pattern_type,timeframe,direction,detection_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,r_multiple,mtf_score,confidence
56,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-10 00:00:00+00:00,248.92898399999996,210.71,363.58593599999983,2025-02-10 00:00:00+00:00,269.0346,timeout,27,542.8516320000015,11.192666054399998,531.6589659456015,0.5152170662830828,3,0.7868585329014944
57,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-13 00:00:00+00:00,246.43699199999998,210.71,353.6179679999999,2025-02-13 00:00:00+00:00,270.303584,timeout,29,692.1311680000008,11.993402214399998,680.1377657856008,0.6564511898006988,3,0.7868585329014944
58,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-16 00:00:00+00:00,250.71040799999997,210.71,370.7116319999999,2025-02-18 00:00:00+00:00,270.50342400000005,timeout,26,514.6184160000021,10.845752486399999,503.7726635136021,0.48439185104312177,3,0.7868585329014944
59,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-21 00:00:00+00:00,253.37253599999997,210.71,381.3601439999999,2025-02-21 00:00:00+00:00,270.563376,timeout,27,464.152680000001,11.321694777599998,452.830985222401,0.393120511429514,3,0.7868585329014944
60,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-24 00:00:00+00:00,256.10472,210.71,392.28887999999995,2025-02-24 00:00:00+00:00,271.902304,timeout,26,410.73718400000075,10.987074175999998,399.75010982400073,0.3386958708854253,3,0.7868585329014944
61,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-27 00:00:00+00:00,253.20239999999998,210.71,380.67959999999994,2025-02-27 00:00:00+00:00,264.788,timeout,29,335.9824000000008,12.02229568,323.96010432000077,0.26289496662932743,3,0.7868585329014944
62,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-01-30 00:00:00+00:00,258.29647199999994,210.71,401.05588799999975,2025-03-03 00:00:00+00:00,266.38672,timeout,27,218.43669600000237,11.337763795199997,207.09893220480237,0.16118721350891696,3,0.7868585329014944
63,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-02-03 00:00:00+00:00,259.887744,210.71,407.420976,2025-03-06 00:00:00+00:00,268.105344,timeout,27,221.87520000000012,11.409287270399998,210.46591272960012,0.1585073484623452,3,0.7868585329014944
64,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-02-06 00:00:00+00:00,263.770848,210.71,422.953392,2025-03-10 00:00:00+00:00,265.88712000000004,timeout,25,52.90680000000094,10.59741696,42.30938304000094,0.03189499198354383,3,0.7868585329014944
65,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-02-10 00:00:00+00:00,269.4654,210.71,445.73159999999996,2025-03-13 00:00:00+00:00,275.22964,timeout,23,132.57752000000067,10.026443359999998,122.55107664000067,0.09068626339025913,3,0.7868585329014944
